Model Name,Dataset Name,Dataset Size (number of sentences),Accuracy (%),Avg Latency (s),Precision,Recall,F1-Score
gemma2,bankingt10_seq_770.txt,770,61.2987,0.1334,0.6910,0.6130,0.6008
gemma2:27b,bankingt10_seq_770.txt,770,66.3636,1.3858,0.7353,0.6636,0.6501
gemma3:1b,bankingt10_seq_770.txt,770,15.1948,0.0658,0.2202,0.1519,0.1410
gemma3:12b,bankingt10_seq_770.txt,770,64.9351,0.2022,0.6951,0.6494,0.6314
gemma3:27b,bankingt10_seq_770.txt,770,72.2078,1.6407,0.7625,0.7221,0.7064
llama3.1,bankingt10_seq_770.txt,770,50.5195,0.0777,0.5741,0.5052,0.4879
phi3:14b,bankingt10_seq_770.txt,770,35.8442,0.4817,0.5673,0.3584,0.3720
phi4,bankingt10_seq_770.txt,770,60.6494,0.1245,0.6537,0.6065,0.5837
qwen2.5:32b,bankingt10_seq_770.txt,770,69.6104,1.3734,0.7392,0.6961,0.6799
qwen2.5,bankingt10_seq_770.txt,770,60.1299,0.0751,0.6510,0.6013,0.5866
mistral,bankingt10_seq_770.txt,770,45.0649,0.0751,0.6384,0.4506,0.4575
deepseek-r1:1.5b,bankingt10_seq_770.txt,770,25.8442,1.9227,0.8312,0.2584,0.3611
deepseek-r1:8b,bankingt10_seq_770.txt,770,72.9870,4.4024,1.0000,0.7299,0.8133
deepseek-r1:32b,bankingt10_seq_770.txt,770,81.5584,84.0058,0.9870,0.8156,0.8758
mistral-nemo,bankingt10_seq_770.txt,770,50.3896,0.1081,0.6428,0.5039,0.5117
gemma2,bankingt_seq_8622.txt,8622,59.9861,0.1390,0.6915,0.5999,0.5963
gemma2:27b,bankingt_seq_8622.txt,8622,63.0944,1.3932,0.6998,0.6309,0.6249
gemma3:1b,bankingt_seq_8622.txt,8622,11.7954,0.0622,0.3594,0.1180,0.1198
gemma3:12b,bankingt_seq_8622.txt,8622,66.2723,0.2055,0.7224,0.6627,0.6546
gemma3:27b,bankingt_seq_8622.txt,8622,68.8935,1.6665,0.7492,0.6889,0.6823
llama3.1,bankingt_seq_8622.txt,8622,47.5992,0.0798,0.6264,0.4760,0.4739
phi3:14b,bankingt_seq_8622.txt,8622,39.6776,0.3035,0.5806,0.3968,0.3922
phi4,bankingt_seq_8622.txt,8622,57.0633,0.1249,0.6576,0.5706,0.5536
qwen2.5:32b,bankingt_seq_8622.txt,8622,65.9012,1.3631,0.7071,0.6590,0.6558
qwen2.5,bankingt_seq_8622.txt,8622,53.4911,0.0763,0.6453,0.5349,0.5288
mistral,bankingt_seq_8622.txt,8622,41.6145,0.0741,0.6253,0.4161,0.4321
mistral-nemo,bankingt_seq_8622.txt,8622,48.2255,0.1064,0.6850,0.4823,0.4858
deepseek-r1:1.5b,bankingt_seq_8622.txt,8622,21.4683,2.1294,1.0000,0.2147,0.3260
deepseek-r1:8b,bankingt_seq_8622.txt,8622,68.7312,4.8434,1.0000,0.6873,0.7897
gemma2,clinc_seq_15000.txt,15000,76.2000,0.1186,0.8312,0.7620,0.7454
